month,month_num,sst,dissolved_oxygen,chlorophyll,latitude,longitude,sst_norm,do_norm,chl_norm,stress_score
Jan,1,24.59,4.82,0.21,20.0,65.0,0.020280811232449292,1.0,0.09090909090909088,2.6
Feb,2,24.46,4.79,0.19,20.0,65.0,0.0,0.967741935483871,0.04545454545454547,2.2
Mar,3,25.67,4.71,0.18,20.0,65.0,0.18876755070202877,0.8817204301075261,0.022727272727272707,12.7
Apr,4,28.38,4.58,0.17,20.0,65.0,0.6115444617784713,0.741935483870968,0.0,34.8
May,5,29.86,4.31,0.22,20.0,65.0,0.8424336973478943,0.45161290322580605,0.11363636363636359,57.9
Jun,6,30.12,4.02,0.48,20.0,65.0,0.8829953198127929,0.13978494623655813,0.7045454545454546,83.8
Jul,7,30.87,3.89,0.61,20.0,65.0,1.0000000000000004,0.0,1.0,100.0
Aug,8,30.34,3.94,0.55,20.0,65.0,0.9173166926677063,0.053763440860215006,0.8636363636363638,91.8
Sep,9,28.89,4.11,0.38,20.0,65.0,0.6911076443057724,0.23655913978494603,0.47727272727272735,67.7
Oct,10,27.45,4.38,0.24,20.0,65.0,0.4664586583463337,0.5268817204301071,0.15909090909090912,40.8
Nov,11,26.12,4.61,0.21,20.0,65.0,0.2589703588143526,0.774193548387097,0.09090909090909088,21.2
Dec,12,25.1,4.74,0.2,20.0,65.0,0.09984399375975084,0.913978494623656,0.06818181818181818,8.8
